"dc.AccrualPeriodicity","dc.AccrualPolicy","dc.contributor.author","dc.contributor.other","dc.coverage.spatial","dc.coverage.temporal","dc.coverage.vigencia","dc.date.created","dc.date.issued","dc.date.validfinal","dc.date.validinici","dc.description","dc.description.LegislationChangedBy","dc.description.LegislationChanges","dc.description.abstract","dc.description.sponsorship","dc.description.tableofcontents","dc.description.version","dc.disposal","dc.format","dc.format.extent","dc.identifier.BG","dc.identifier.ab","dc.identifier.citation","dc.identifier.entitat","dc.identifier.isbn","dc.identifier.mandat","dc.identifier.uri","dc.language","dc.publisher","dc.relation","dc.relation.hasformat","dc.relation.haspart","dc.relation.hasversion","dc.relation.isbasedon","dc.relation.isbasisfor","dc.relation.isformatof","dc.relation.ispartof","dc.relation.isreferencedby","dc.relation.isreplacedby","dc.relation.isrequiredby","dc.relation.isversionof","dc.relation.references","dc.relation.replaces","dc.relation.requires","dc.relation.uri","dc.rights","dc.rights.accessrights","dc.rights.notes","dc.rights.rightsHolder","dc.rights.uri","dc.source","dc.subject","dc.subject.category","dc.subject.forma","dc.subject.programme","dc.title","dc.title.alternative","dc.type",
"","","Sáiz Antón, Maria Petra","","Barcelona | Barcelona | Barcelona","","","2016-11","2016-12-01","","","Ponència de Maria Petra Sáiz, interventora de l'Ajuntament de l'Hospitalet de Llobregat i presidenta del CSITAL de Catalunya amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","30 p.","","","","","","","http://hdl.handle.net/11703/100150","cat","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Maria Petra Sáiz Antón","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Desenvolupament sostenible | Privatization | Corporatization | Public utilities | Sustainable development | Privatización | Municipalización | Servicios públicos | Desarrollo sostenible","Economia | Sector públic","conferències i ponències","","Aspectes econòmics de la remunicipalització: impacte en l’estabilitat pressupostària, la sostenibilitat financera i el control intern","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text",
"","","Consell de les Dones de Barcelona | Associació Ca la dona | Porta Abad, Carme | Peñaranda, Chus | Cruells, Dolors | Garcia, Dolors | Rodríguez Lázaro, Manola | Otero-Vidal, Mercè | Bofill, Mireia | Cervera Rodón, Montserrat | Moreno Saénz, Neus | Casals Pérez, Núria | Pascual, Rosa","","Barcelona | Barcelona | Barcelona","1999","","1998-12-21","1998-12-21","","","Ponència presentada per l'Associació Ca la Dona al I Congrés de Dones de Barcelona de 1999","","","","","","","","application/pdf","31 p.","","","","consells | associacions","","","http://hdl.handle.net/11703/105104","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Participació ciutadana | Women | Citizen participation | Mujeres | Participación ciudadana","Societat i benestar","conferències i ponències","","Transformem la ciutat donant valor a la participació de les dones","Congrés de les Dones de Barcelona (1r : 1999 : Barcelona)","text",
"","","Agència de Salut Pública de Barcelona | López, Mª José | Puig Barrachina, Vanessa","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Mª José López i Vanessa Puig-Barrachina amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","20 p.","","","","","","","http://hdl.handle.net/11703/114949","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Salut en el treball | Higiene industrial | Industrial hygiene | Barris | Barrios | Neighborhood | Inserció laboral | Inserción laboral | Occupational integration | Avaluació | Evaluación | Evaluation","Salut","articles","","La importància de l'avaluació en salut pública i efectes en salut del programa treball als barris","","text",
"","","Gerència de Recursos | Direcció de Serveis de Gestió Econòmica | Escalante Cruces, Antonio","","","","","2018-03","2018-03-07","","","Ponència presentada per Antonio  Escalante Cruces amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","25 p.","","","","","","","http://hdl.handle.net/11703/111505","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Antonio  Escalante Cruces","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les Meses de Contractació. Classificació de les ofertes. Actuacions preparatòries a l'adjudicació. La formalització del contracte .","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text",
"","","Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Eladi Torres amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","12 p.","","","","","","","http://hdl.handle.net/11703/114953","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Subvencions | Subvenciones públicas | Subsidies | Serveis socials | Servicios sociales | Human services | Avaluació | Evaluación | Evaluation","","","Programa l’Ajut d’Emergència Social 2015- (Barcelona)","Fons d’ajuts d’emergència social per a infants i menors de 16 anys","","text",
"","","Gerència Municipal | Oficina Municipal de Dades | Boada Pla, Màrius","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Màrius Boada amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","17 p.","","","","","","","http://hdl.handle.net/11703/114956","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dades massives | Datos masivos | Big data | Estadístiques | Estadísticas | Statistics | Avaluació | Evaluación | Evaluation","Sector públic","","","Oficina Municipal de dades :  eines i recursos estratègics per a l'avaluació","","text",
"","","Gerència de Drets Socials | Torrens, Lluís","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Lluís Torrens amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","17 p.","","","","","","","http://hdl.handle.net/11703/114957","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Pobresa | Pobreza | Poverty | Política social | Política social | Social policy | Economia social | Economía social | Social economy | Integració social | Integración social | Social integration | Avaluació | Evaluación | Evaluation","Societat i benestar","articles","Projecte B-Mincome 2017-2019 (Barcelona)","B-Mincome = Avaluació","","text",
"","","Castro, José Esteban","","","","","2016-11","2016-12-01","","","Ponència del Dr. Esteban Castro amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","25 p.","","","","","","","http://hdl.handle.net/11703/100106","cas","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Jose Esteban Castro","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Privatization | Corporatization | Public utilities | Privatización | Municipalización | Servicios públicos","Economia | Sector públic","conferències i ponències","","La Nueva ""Gestión Pública"": límites y desafíos de un modelo después de 30 años. El papel de la remunicipalización en la política pública moderna","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text",
"","","Martínez Fernández, José Manuel","","Barcelona | Barcelona | Barcelona","","","2016-11","2016-12-01","","","Ponència del Sr. José Manuel Martínez Fernández amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","48 p.","","","","","","","http://hdl.handle.net/11703/100105","cas","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","José Manuel Martínez Fernández","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Privatization | Corporatization | Public utilities | Privatización | Municipalización | Servicios públicos","Economia | Sector públic","conferències i ponències","","La Remunicipalització, reptes i oportunitats: aspectos procedimentales, económicos y laborales de la ""remunicipalización"" de servicios públicos locales","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text",
"","","Gerència de Presidència i Economia | Direcció de Serveis de Coordinació de Contractació Administrativa | Blanco López, Francisco","","Barcelona | Barcelona | Barcelona","","","2018-03-07","2018-03-07","","","Ponència presentada a la"" Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", 7 de març 2018","","","","","","","","application/pdf","13 p.","","","","","","","http://hdl.handle.net/11703/111590","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Francisco Blanco López","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Criteris d'adjudicació","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text",
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Direcció de l’Àrea del Contenciós | Herrero lturriaga, Rafael","","","","","2018-03-07","2018-03-07","","","Ponència presentada per Rafael Herrero amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","13 p.","","","","","","","http://hdl.handle.net/11703/111510","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Rafael Herrero lturriaga","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Procediment administratiu | Public contracts | Letting of contracts | Administrative procedure | Contratos administrativos | Adjudicación administrativa | Procedimiento administrativo","Legislació i justícia | Sector públic","conferències i ponències","","Procediments d'adjudicació dels contractes. Especial referència : procediment obert simplificat i sumari. El procediment negociat i l'associació, per la innovació","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text",
"","","Consell de les Dones de Barcelona | Drac Màgic (Firma)","","Barcelona | Barcelona | Barcelona","1999","","1998-12-21","1998-12-21","","","Ponència presentada per Drac Màgic al I Congrés de Dones de Barcelona de 1999","","","","","","","","application/pdf","26 p.","","","","consells","","","http://hdl.handle.net/11703/105106","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Mitjans de comunicació de massa | Women | Mass media | Mujeres | Medios de comunicación social","Cultural i oci","conferències i ponències","","Dones i ciutat en l'espai mediàtic","Congrés de les Dones de Barcelona (1r : 1999 : Barcelona)","text",
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Direcció de l'Àrea de Règim Jurídic | Mallo Gómez, Manuel","","","","","2018","2018-03-07","","","Ponència presentada per Manuel Mallo amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","20 p.","","","","","","","http://hdl.handle.net/11703/111354","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Manuel Mallo Gómez","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Àmbit subjectiu. Novetats en relació a l'aplicació de la Llei als ens instrumentals i la relació amb els mitjans propis","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text",
"","","Gerència de Recursos Humans i Organització","","Barcelona | Barcelona | Barcelona","","","2016-11","2016-12-01","","","Ponència presentada pel regidor Eloi Badia Casas amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","15 p.","","","","","","","http://hdl.handle.net/11703/100146","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Privatization | Corporatization | Public utilities | Privatización | Municipalización | Servicios públicos","Sector públic","conferències i ponències","","Línies estratègiques sobre la remunicipalització a Barcelona","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text",
"","","Hall, David","","Barcelona | Barcelona | Barcelona","","","2016-11","2016-12-01","","","Ponència del professor David Hall amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","45 p.","","","","","","","http://hdl.handle.net/11703/100145","eng | cas","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","David Hall","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Privatization | Corporatization | Public utilities | Privatización | Municipalización | Servicios públicos","Economia | Sector públic","conferències i ponències","","Re-municipalisation and the role of public services in economic, social, and green development","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text",
"","","Gerència de Recursos Humans i Organització","","","","","2016-11","2016-12-01","","","Ponència presentada per Ferran Daroca Esquirol, gerent de Recursos Humans i Organització de l'Ajuntament de Barcelona amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","13 p.","","","","","","","http://hdl.handle.net/11703/100107","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Municipalització | Recursos humans | Serveis públics | Escoles bressol | Punts d'Informació i Atenció a les Dones (PIADs) | Corporatization | Human capital | Public utilities | Kindergarten | Punts d'Informació i Atenció a les Dones (PIADs) | Municipalización | Recursos humanos | Servicios públicos | Guarderías | Punts d'Informació i Atenció a les Dones (PIADs)","Sector públic | Ocupació","conferències i ponències","","Internalització de serveis a l'Ajuntament de Barcelona: perspectiva des de la gestió de Recursos Humans","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text",
"","","Servei de Documentació d'Educació Ambiental (Barcelona) | Àrea d'Hàbitat Urbà","","Barcelona | Barcelona | Barcelona","","","2014-12","2014-12","","","Forma part de la col·lecció: Recull de Recursos","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","11 p.","BAB_18188","","","","","","http://hdl.handle.net/11703/91392","cat","Ajuntament de Barcelona. Hàbitat Urbà","","","","","","","","","","","","http://hdl.handle.net/11703/91273","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Canvis climàtics | Climatologia | Efecte hivernacle (Meteorologia) | Climatic changes | Climatology | Greenhouse effect, Atmospheric | Cambios climáticos | Climatología | Efecto invernadero","Medi ambient","monografies","","Canvi climàtic","","text",
"","","Institut Municipal d'Hisenda (Barcelona) | Generalitat de Catalunya. Direcció General de Dret i d'Entitats Jurídiques | Agència Tributària de Catalunya","","Barcelona | Barcelona | Barcelona","","","2009-03","2009-03","","","","","","","","","","","application/pdf","40 p.","GUIAOBLBEF_CAT","","","","","","http://hdl.handle.net/11703/91426","cat","Agencia Tributaria | Agència Tributària de Catalunya | Generalitat de Catalunya. Direcció General de Dret i d'Entitats Jurídiques | Institut Municipal d'Hisenda (Barcelona)","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Fundacions | Entitats sense ànim de lucre | Dret fiscal | Endowments | Nonprofit organizations | Tax law | Fundaciones | Organizaciones no lucrativas | Derecho fiscal","Hisenda","monografies","","Guia d'obligacions i de beneficis fiscals de les entitats sense ànim de lucre","","text",
"","","Ajuntament de Barcelona | Xarxa de Centres Cívics (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2010","2010","","","","","","","","","","Drets revisats. No s'ha parlat amb els responsables de les il·lustracions i fotografies, per tant s'ha establert CC-BY [només pel text] ; Tots els drets reservats [per les fotografies].","application/pdf","29 p.","8639","","","","","","http://hdl.handle.net/11703/90878","cat","Ajuntament de Barcelona. Sector d'Educació, Cultura i Benestar","","","","","","","","","","","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","","De l'edició: Ajuntament de Barcelona | Dels textos: Ajuntament de Barcelona | De les fotografies: els seus autors","http://creativecommons.org/licenses/by/4.0/deed.ca","","Centres cívics | Civisme | Civic centers | Civics | Centros cívicos | Civismo","Societat i benestar | Cultura i oci","monografies","","Tornem a saltar les muralles!!: Barcelona, ciutat oberta: 35 propostes per eixamplar la vida ciutadana des de la convivència i la creativitat","Amb els centres cívics","text",
