unit,age,sex,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,UNK,T,ED5,EL	: z	: z	: z	: z	: z	: 
NR,UNK,T,ED5,ES	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,EU28	: 	3466 	357 	190 	984 	: 
NR,UNK,T,ED5,FI	: z	: z	: z	0 	0 	: 
NR,UNK,T,ED5,FR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,HR	0 	0 	0 	0 	: d	: 
NR,UNK,T,ED5,HU	0 	0 	0 	0 	0 e	: 
NR,UNK,T,ED5,IE	276 	969 	53 	10 	: 	: 
NR,UNK,T,ED5,IS	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,IT	0 	0 	0 	0 	3 	: 
NR,UNK,T,ED5,LI	: z	: z	: z	: z	: z	: 
NR,UNK,T,ED5,LT	: z	: z	: z	: z	: z	: 
NR,UNK,T,ED5,LU	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,LV	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,ME	: z	: z	: 	: 	: 	: 
NR,UNK,T,ED5,MK	: z	: z	: z	: z	: z	: 
NR,UNK,T,ED5,MT	0 	0 	1 	0 	0 	: 
NR,UNK,T,ED5,NL	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,NO	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,PL	0 	0 	0 	0 d	0 	: 
NR,UNK,T,ED5,PT	0 	0 	0 	: z	: z	: 
NR,UNK,T,ED5,RO	: z	: z	: z	: z	: z	: 
NR,UNK,T,ED5,RS	: z	: z	: z	: z	: z	: 
NR,UNK,T,ED5,SE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,SI	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,SK	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,TR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED5,UK	116 d	2468 	278 	174 	906 	: 
NR,UNK,T,ED6,AT	1 	1 	2 	0 	0 	: 
NR,UNK,T,ED6,BE	33790 	34176 	35362 	33504 	20 	: 
NR,UNK,T,ED6,BG	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,CH	0 	0 	8 	27 	0 	: 
NR,UNK,T,ED6,CY	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,CZ	6375 	6353 	5135 	6298 	6616 	: 
NR,UNK,T,ED6,DE	0 	9264 	9508 	9699 	9520 	0 
NR,UNK,T,ED6,DK	47 	10 	7 	18 	25 	: 
NR,UNK,T,ED6,EE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,EL	51459 	45452 	49187 	180203 d	1233 	: 
NR,UNK,T,ED6,ES	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,EU28	: 	144996 	167935 	297176 	78205 	: 
NR,UNK,T,ED6,FI	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,FR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,HR	0 	0 	0 	0 	0 d	: 
NR,UNK,T,ED6,HU	0 	0 	0 	0 	0 e	: 
NR,UNK,T,ED6,IE	33 	29 	22 	26 	8 	: 
NR,UNK,T,ED6,IS	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,IT	7573 	47746 	68699 	67406 	60776 	: 
NR,UNK,T,ED6,LI	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,LT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,LU	0 	1 	0 	0 	0 	: 
NR,UNK,T,ED6,LV	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,MK	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,MT	0 	0 	1 	0 	0 	: 
NR,UNK,T,ED6,NL	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,NO	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,PL	21 d	9 d	0 d	10 	1189 	: 
NR,UNK,T,ED6,PT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,RO	2130 	1950 d	0 	: d	0 	: 
NR,UNK,T,ED6,RS	0 	0 	18 	0 	0 	: 
NR,UNK,T,ED6,SE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,SI	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,SK	0 	0 	0 d	0 	0 d	: 
NR,UNK,T,ED6,TR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED6,UK	8 	5 	12 	12 	51 	: 
NR,UNK,T,ED7,AT	0 	2 	2 	3 	1 	: 
NR,UNK,T,ED7,BE	385 	5139 	449 	436 	1 	: 
NR,UNK,T,ED7,BG	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,CH	0 	0 	0 	4 	0 	: 
NR,UNK,T,ED7,CY	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,CZ	11955 	13010 	14969 	14724 	9415 	: 
NR,UNK,T,ED7,DE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,DK	3 	2 	2 	0 	3 	: 
NR,UNK,T,ED7,EE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,EL	3060 	909 	3353 	9821 d	305 	: 
NR,UNK,T,ED7,ES	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,EU28	: 	34753 	84782 	96373 	75082 	: 
NR,UNK,T,ED7,FI	0 	1 	0 	0 	0 	: 
NR,UNK,T,ED7,FR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,HR	0 	0 	0 	0 	456 	: 
NR,UNK,T,ED7,HU	0 	0 	0 	0 	0 e	: 
NR,UNK,T,ED7,IE	57 	49 	37 	17 	21 	: 
NR,UNK,T,ED7,IS	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,IT	651 	13767 	65863 	71285 	65095 	: 
NR,UNK,T,ED7,LI	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,LT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,LU	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,LV	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,MK	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,MT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,NL	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,NO	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,PL	8 d	4 d	0 d	0 	0 	: 
NR,UNK,T,ED7,PT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,RO	2052 	1776 d	0 	: d	0 	: 
NR,UNK,T,ED7,RS	0 	0 	4 	0 	0 	: 
NR,UNK,T,ED7,SE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,SI	0 d	0 	0 	0 	0 	: 
NR,UNK,T,ED7,SK	0 	0 	: d	: d	: d	: 
NR,UNK,T,ED7,TR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED7,UK	80 	94 	107 	87 	88 	: 
NR,UNK,T,ED8,AT	3 	1 	4 	3 	0 	: 
NR,UNK,T,ED8,BE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,BG	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,CH	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,CY	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,CZ	358 	286 	371 	366 	391 	: 
NR,UNK,T,ED8,DE	0 d	0 d	0 	0 	0 	0 
NR,UNK,T,ED8,DK	1 	0 	23 	8 	0 	: 
NR,UNK,T,ED8,EE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,EL	3865 	9347 	9857 	7131 	0 	: 
NR,UNK,T,ED8,ES	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,EU28	: 	10886 	11117 	14126 	5137 	: 
NR,UNK,T,ED8,FI	0 	1 	0 	4 	0 	: 
NR,UNK,T,ED8,FR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,HR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,HU	0 	0 	0 	0 	0 e	: 
NR,UNK,T,ED8,IE	2 	5 	4 	6 	1430 	: 
NR,UNK,T,ED8,IS	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,IT	0 	0 	4 	0 	7 	: 
NR,UNK,T,ED8,LI	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,LT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,LU	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,LV	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,MK	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,MT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,NL	440 	439 	846 	146 	398 	: 
NR,UNK,T,ED8,NO	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,PL	0 d	0 d	0 	0 	2888 	: 
NR,UNK,T,ED8,PT	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,RO	907 	797 d	0 	: d	0 	: 
NR,UNK,T,ED8,RS	0 	0 	2 	0 	0 	: 
NR,UNK,T,ED8,SE	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,SI	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,SK	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,TR	0 	0 	0 	0 	0 	: 
NR,UNK,T,ED8,UK	10 	10 	8 	11 	20 	: 
NR,Y10,F,ED0,AT	0 	1 	0 	1 	0 	: 
NR,Y10,F,ED0,BE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,BG	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,CH	2 	6 	1 	1 	0 	: 
NR,Y10,F,ED0,CY	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,CZ	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,DE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,DK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,EE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,EL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,ES	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,EU28	: 	733 	658 	697 	636 	: 
NR,Y10,F,ED0,FI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,FR	723 	730 	656 	695 	635 	: 
NR,Y10,F,ED0,HR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,HU	0 	0 	0 	0 	: 	: 
NR,Y10,F,ED0,IE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,IS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,IT	0 	0 	0 	0 	: z	: 
NR,Y10,F,ED0,LI	: 	0 	: 	: 	: 	: 
NR,Y10,F,ED0,LT	0 	0 	0 	1 	0 	: 
NR,Y10,F,ED0,LU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,LV	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,ME	0 	0 	0 	: 	: 	: 
NR,Y10,F,ED0,MK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,MT	0 	0 	1 	0 	0 	: 
NR,Y10,F,ED0,NL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,NO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,PL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,PT	0 	0 	0 e	0 	0 	: 
NR,Y10,F,ED0,RO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,RS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,SE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,SI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,SK	3 	2 	1 	0 	1 	: 
NR,Y10,F,ED0,TR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED0,UK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED1,AT	18410 	17489 	17349 	16896 	16990 	: 
NR,Y10,F,ED1,BE	63165 	60757 	59644 	58110 	57377 	: 
NR,Y10,F,ED1,BG	27986 	27641 	27769 	27273 	26943 	: 
NR,Y10,F,ED1,CH	39496 	39006 	38997 	37946 	37839 	: 
NR,Y10,F,ED1,CY	4437 	4269 	4408 	4168 	4172 	: 
NR,Y10,F,ED1,CZ	51663 	50079 	47535 	45778 	45319 	: 
NR,Y10,F,ED1,DE	140683 	139595 	143366 	145473 	149093 	155929 
NR,Y10,F,ED1,DK	32841 	32451 	32242 	31984 	31527 	: 
NR,Y10,F,ED1,EE	6769 	6485 	6432 	6080 	5932 	: 
NR,Y10,F,ED1,EL	51977 	50556 	50141 	49537 	50529 	: 
NR,Y10,F,ED1,ES	233903 	229520 	226354 	224154 	215568 	: 
NR,Y10,F,ED1,EU28	: 	2208178 	2193158 	2168635 	2150548 	: 
NR,Y10,F,ED1,FI	29505 	29029 	28632 	28364 	27658 	: 
NR,Y10,F,ED1,FR	402255 	390363 	385915 	380149 	380544 	: 
NR,Y10,F,ED1,HR	14449 	15038 	14656 	14520 	14775 	: 
NR,Y10,F,ED1,HU	34428 	33643 	33488 	33610 	34617 	: 
NR,Y10,F,ED1,IE	32505 	31221 	31744 	31864 	31504 	: 
NR,Y10,F,ED1,IS	2164 	2105 	2128 	2075 	2011 	: 
NR,Y10,F,ED1,IT	246623 	243427 	247552 	245084 	242974 	: 
NR,Y10,F,ED1,LI	190 	197 	193 	170 	190 	: 
NR,Y10,F,ED1,LT	12170 	11987 	12008 	11999 	11936 	: 
NR,Y10,F,ED1,LU	2844 	2747 	2718 	2736 	2670 	: 
NR,Y10,F,ED1,LV	9861 	9487 	8793 	9069 	8925 	: 
NR,Y10,F,ED1,ME	3363 	3265 	3535 	: 	: 	: 
NR,Y10,F,ED1,MK	9519 	9729 	9795 	9976 	9858 	: 
NR,Y10,F,ED1,MT	1919 	1971 	1940 	2019 	1886 	: 
NR,Y10,F,ED1,NL	91435 	92305 	95068 	97573 	98008 	: 
NR,Y10,F,ED1,NO	30812 	30035 	29946 	29573 	28897 	: 
NR,Y10,F,ED1,PL	175344 	169398 	164593 	162461 	164957 	: 
NR,Y10,F,ED1,PT	49004 	50065 	50124 	51994 	53475 	: 
NR,Y10,F,ED1,RO	71086 	75053 	76151 	75810 	74597 	: 
NR,Y10,F,ED1,RS	28576 	29440 	30846 	32418 	32518 	: 
NR,Y10,F,ED1,SE	56676 	54071 	52874 	51554 	49744 	: 
NR,Y10,F,ED1,SI	9352 	8897 	8910 	8444 	8663 	: 
NR,Y10,F,ED1,SK	11899 	11767 	11579 	11419 	11194 	: 
NR,Y10,F,ED1,TR	27549 	58047 	56952 	62470 	82285 	: 
NR,Y10,F,ED1,UK	367483 	358867 	351173 	340513 	328971 	: 
NR,Y10,F,ED2,AT	21958 	22335 	22580 	22113 	23025 	: 
NR,Y10,F,ED2,BE	9 	15 	15 	17 	10 	: 
NR,Y10,F,ED2,BG	2601 	2755 	2341 	1985 	1953 	: 
NR,Y10,F,ED2,CH	20 	30 	36 	13 	9 	: 
NR,Y10,F,ED2,CY	4 	0 	14 	1 	1 	: 
NR,Y10,F,ED2,CZ	20 	19 	21 	18 	18 	: 
NR,Y10,F,ED2,DE	202219 	203402 	204229 	201571 	203561 	200940 
NR,Y10,F,ED2,DK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,EE	1 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,EL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,ES	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,EU28	: 	: 	316247 	314189 	318292 	: 
NR,Y10,F,ED2,FI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,FR	10335 	10706 	10978 	11474 	11628 	: 
NR,Y10,F,ED2,HR	6570 	7056 	6102 	6249 	6290 	: 
NR,Y10,F,ED2,HU	12233 	11665 	11102 	11047 	11232 	: 
NR,Y10,F,ED2,IE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,IS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,IT	24507 	26223 	26304 	27066 	27351 	: 
NR,Y10,F,ED2,LI	84 	1 	0 	1 	1 	: 
NR,Y10,F,ED2,LT	1007 	991 	1034 	1042 	1144 	: 
NR,Y10,F,ED2,LU	129 	131 	149 	133 	122 	: 
NR,Y10,F,ED2,LV	0 	1 	0 	0 	0 	: 
NR,Y10,F,ED2,ME	82 	83 	159 	: 	: 	: 
NR,Y10,F,ED2,MK	487 	367 	1505 	688 	976 	: 
NR,Y10,F,ED2,MT	2 	0 	5 	4 	2 	: 
NR,Y10,F,ED2,NL	42 	38 	25 	29 	25 	: 
NR,Y10,F,ED2,NO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,PL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,PT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,RO	19970 	19035 	18010 	18669 	19277 	: 
NR,Y10,F,ED2,RS	4451 	4561 	4042 	3362 	2332 	: 
NR,Y10,F,ED2,SE	2 	3 	2 	0 	0 	: 
NR,Y10,F,ED2,SI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED2,SK	13176 	13535 	13336 	12771 	12653 	: 
NR,Y10,F,ED2,TR	582463 	539507 	529036 	517564 	510048 	: 
NR,Y10,F,ED2,UK	961 	: 	0 	0 	0 	: 
NR,Y10,F,ED3,AT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,BE	51 	46 	30 	26 	35 	: 
NR,Y10,F,ED3,BG	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,CH	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,CY	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,CZ	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,DE	0 	0 	0 	0 	0 	0 
NR,Y10,F,ED3,DK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,EE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,EL	0 	0 	0 	: 	0 	: 
NR,Y10,F,ED3,ES	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,EU28	: 	47 	30 	26 	35 	: 
NR,Y10,F,ED3,FI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,FR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,HR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,HU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,IE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,IS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,IT	0 	0 	0 	0 	: z	: 
NR,Y10,F,ED3,LI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,LT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,LU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,LV	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,ME	0 	0 	0 	: 	: 	: 
NR,Y10,F,ED3,MK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,MT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,NL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,NO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,PL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,PT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,RO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,RS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,SE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,SI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,SK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,TR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED3,UK	4 	1 	0 	0 	0 	: 
NR,Y10,F,ED4,AT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,BE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,BG	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,CH	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,CY	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,CZ	: d	: d	: d	: d	0 	: 
NR,Y10,F,ED4,DE	0 	0 	0 	0 	0 	0 
NR,Y10,F,ED4,DK	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED4,EE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,EL	0 	0 	0 	: 	0 	: 
NR,Y10,F,ED4,ES	0 	0 	0 	0 d	: 	: 
NR,Y10,F,ED4,EU28	: 	0 	0 	0 	: 	: 
NR,Y10,F,ED4,FI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,FR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,HR	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED4,HU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,IE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,IS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,IT	: 	0 	0 	0 	: z	: 
NR,Y10,F,ED4,LI	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED4,LT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,LU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,LV	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,ME	: z	: z	: 	: 	: 	: 
NR,Y10,F,ED4,MK	0 	0 	0 	0 	: 	: 
NR,Y10,F,ED4,MT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,NL	: z	: z	: z	0 	0 	: 
NR,Y10,F,ED4,NO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,PL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,PT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,RO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,RS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,SE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,SI	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED4,SK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED4,TR	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED4,UK	: zd	: z	: z	: z	: z	: 
NR,Y10,F,ED5,AT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,BE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,BG	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,CH	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,CY	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,CZ	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,DE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,DK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,EE	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,EL	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,ES	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,EU28	: 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,FI	: z	: z	: z	0 	0 	: 
NR,Y10,F,ED5,FR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,HR	0 	0 	0 	0 	: d	: 
NR,Y10,F,ED5,HU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,IE	0 	0 	0 	0 	: 	: 
NR,Y10,F,ED5,IS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,IT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,LI	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,LT	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,LU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,LV	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,ME	: z	: z	: 	: 	: 	: 
NR,Y10,F,ED5,MK	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,MT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,NL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,NO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,PL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,PT	0 	0 	0 	: z	: z	: 
NR,Y10,F,ED5,RO	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,RS	: z	: z	: z	: z	: z	: 
NR,Y10,F,ED5,SE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,SI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,SK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,TR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED5,UK	1 d	0 	0 	0 	0 	: 
NR,Y10,F,ED6,AT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,BE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,BG	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,CH	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,CY	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,CZ	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,DE	0 	0 	0 	0 	0 	0 
NR,Y10,F,ED6,DK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,EE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,EL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,ES	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,EU28	: 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,FI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,FR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,HR	0 	0 	0 	0 	0 d	: 
NR,Y10,F,ED6,HU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,IE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,IS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,IT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,LI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,LT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,LU	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,LV	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,MK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,MT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,NL	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,NO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,PL	0 d	0 d	0 d	0 	0 	: 
NR,Y10,F,ED6,PT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,RO	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,RS	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,SE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,SI	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,SK	0 	0 	0 d	0 	0 d	: 
NR,Y10,F,ED6,TR	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED6,UK	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED7,AT	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED7,BE	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED7,BG	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED7,CH	0 	0 	0 	0 	0 	: 
NR,Y10,F,ED7,CY	0 	0 	0 	0 	0 	: 
